Henry Du Mont,1910
Francesco da Milano,1904
Dmitrij Stepanovič Bortnânskij,1890
Charles Ives,1880
Niccolò Paganini,1860
Paul Arma,1845
Rodrigo de Ceballos,1820
Béla Bartók,1788
Gaetano Donizetti,1752
Pablo de Sarasate,1752
Karlheinz Stockhausen,1728
Darius Milhaud,1722
Aaron Copland,1716
Arnold Schoenberg,1704
Leonard Bernstein,1680
Bartłomiej Pękiel,1666
György Ligeti,1664
Jacques Offenbach,1578
Félix,1560
Francesco Landini,1554
Giovanni Battista Pergolesi,1540
Jules Massenet,1536
Ernst Krenek,1525
Bohuslav Martinů,1506
Guillaume de Machaut,1485
Aleksandr Porfirievitch Borodine,1484
César Franck,1482
Wolfgang Rihm,1428
Komitas,1421
Johann Strauss,1386
Hanns Eisler,1368
Gaspar van Weerbeke,1344
Heinrich Schütz,1344
John Cage,1338
Leonhard Paminger,1323
Luciano Berio,1302
James MacMillan,1300
Vicente Martín y Soler,1296
Ralph Vaughan Williams,1278
Jean Desfontaines,1278
Charles-Valentin Alkan,1275
Galina Ivanovna Ustvol'skaâ,1274
Louis Spohr,1264
Henri Desmarets,1260
André Campra,1254
George Gershwin,1254
Max Reger,1248
Pavel Grigor'evič Česnokov,1230
Carl Maria von Weber,1218
Jacques Colebault,1210
Gustav Mahler,1206
Giovanni Girolamo Kapsperger,1188
Georges Bizet,1170
Arvo Pärt,1158
Djalāl al-Dīn Rūmi,1150
Olivier Messiaen,1128
Georges Enesco,1128
Joseph Kosma,1125
Arthur Honegger,1122
Matheus de Perusio,1120
Astor Piazzolla,1116
Duke,1116
Gioachino Rossini,1108
Antonín Dvořák,1104
Anton Webern,1092
Pétrarque,1089
Giuseppe Aldrovandini,1080
Anton Bruckner,1068
Fernando Sor,1062
Francisco Correa de Araujo,1056
Thomas Tallis,1056
Tomás Luis de Victoria,1056
André Jolivet,1044
Omar Qayyam,1040
Elliott Carter,1038
Franco Donatoni,1032
Pascal Dusapin,990
Sigismondo D'India,984
Carl Nielsen,972
Joseph Ruiz Samaniego,960
Rambaldo di Vaqueiras,960
Hans Werner Henze,954
Egidio Duni,944
Aleksandr Aleksandrovič Alâbʹev,936
Folque de Marseille,936
Leoš Janáček,930
Narcís Casanoves Bertrán,930
Aleksandr Afanas'evic Spendiarov,912
Alexandre Tansman,909
Georges,900
Michel Richard de Lalande,900
Dietrich Buxtehude,892
Philip Glass,888
Philippe le Chancelier,882
Jean-Marie Leclair,876
John Williams,864
Ernesto Halffter,860
Alexander Tcherepnin,860
Ferruccio Busoni,858
Zoltán Kodály,846
Dussek,840
Nikolaj Obuhov,840
Agostino Steffani,832
Péter Eötvös,825
Bruno Mantovani,822
Anton Stepanovič Arenskij,816
Nino Rota,816
Mauricio Kagel,804
Kurt Weill,804
Ermend-Bonnal,800
Guy Ropartz,800
Antonio Zacara da Teramo,792
Thierry Escaich,786
M***,784
John Coprario,784
Pierre Boulez,780
Leopold Kozeluch,775
Pierre Desvignes,774
William Walton,768
Carl Loewe,768
Louis Vierne,760
Daniel-François-Esprit Auber,756
Mateo Romero,752
Élisabeth Jacquet de La Guerre,752
Muzio Clementi,750
Albert Roussel,750
Luis de Milán,744
Joseph Boulogne Saint-Georges,744
Christoph Willibald von Gluck,735
Étienne de Jouy,726
Dezède,720
Giuseppe Sammartini,720
Philippe de Monte,720
Johann Kaspar Kerll,720
Guillaume Dufay,714
Chastelain de Couci,714
Steve Reich,714
Jorge Luis Borges,714
Francesco Durante,708
Claude Joseph Rouget de Lisle,704
Arcangelo Corelli,702
Giovanni Pierluigi da Palestrina,700
Isaac Albéniz,696
Karl Ditters von Dittersdorf,696
Alban Berg,684
Théodore Dubois,684
Claudin,684
Boris Ivanovič Tiŝenko,684
Cezar´ Antonovič Kûi,680
Luis de Pablo,676
Clara Schumann,675
Maurice,675
Juan Cabanilles,672
Emmanuel Chabrier,672
Manuel García,672
Clément Janequin,666
Irving Berlin,666
José Antonio de Donostia,660
Serge Gainsbourg,660
Theodor Wiesengrund Adorno,660
William Shakespeare,660
Samuel Barber,660
Claude Arrieu,650
Michael Jarrell,648
Florent Schmitt,648
Franz Krommer,644
Niels Wilhelm Gade,640
M,630
Petrus Wilhelmi de Grudencz,630
Stanisław Moniuszko,630
Jan Dismas Zelenka,624
Georges Aperghis,624
